,Name,Price,Date,Rate,Singleplayer,Action,Multiplayer,Adventure,Strategy,Simulation,Indie,RPG,Atmospheric,Story Rich,Open World,Casual,2D,Sandbox,Fantasy,Online Co-Op,Exploration,3D,Funny,Survival,Shooter,Realistic,Anime,Sci-fi,FPS
0,PUBG: BATTLEGROUNDS,0,2017,0.67,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
1,Counter-Strike: Global Offensive,19.95,2012,0.89,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
2,Apex Legends™,54.9,2020,0.77,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
3,EA SPORTS™ FIFA 23,109.9,2022,0.38,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4,Coral Island,22,2022,0.9,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Dota 2,20,2013,0.75,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6,UNDECEMBER,0,2022,0.29,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
7,Metro Exodus,20,2019,0.89,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1
8,Yu-Gi-Oh! Master Duel,0,2022,0.77,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
9,Dead by Daylight,271.5,2016,0.79,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10,Grand Theft Auto V,115.79,2015,0.92,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
11,Destiny 2,71.9,2019,0.76,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
12,NARAKA: BLADEPOINT,57.5,2021,0.74,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13,Team Fortress 2,13,2007,0.94,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
14,Euro Truck Simulator 2,4.55,2012,0.97,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
15,Asterigos: Curse of the Stars,69,2022,0.74,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
16,War Thunder,1625.23,2013,0.77,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17,Assassin's Creed® Odyssey,32.9,2018,0.88,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
